 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
23,112.9844836,112.98,112.9855302,26.72964453,18.00005161,29.09107297,381,255,118,24489.67098,28830.99421,22134.26054,[35][M]+,,17,1,1,1,1,1,112.9844836,Trifluoroacetic acid,C2HF3O2,113.9928639,9,23138861,HMDB0014118,,,,,-1
24,113.0229936,113.0149204,113.0331085,20.93788673,19.03847548,42.50777167,384,255,118,201.0055801,159.6494581,342.0415856,,,294,1,0,1,1,0,,,,,,,,,,,,
25,113.9869905,113.9777654,113.9926381,26.70780594,18.00005161,29.85359142,374,255,118,588.4739794,715.6042559,845.6444758,[35][M+1]+,,17,0,0,1,0,0,113.9869905,"Acetic acid, trifluoro-",C2HF3O2,113.9928639,9,,,,,,303777,22
25,113.9869905,113.9777654,113.9926381,26.70780594,18.00005161,29.85359142,374,255,118,588.4739794,715.6042559,845.6444758,[35][M+1]+,,17,0,0,1,0,0,113.9869905,trifluoroacetic acid,C2HF3O2,113.9928639,9,,,,,,85337,22
25,113.9869905,113.9777654,113.9926381,26.70780594,18.00005161,29.85359142,374,255,118,588.4739794,715.6042559,845.6444758,[35][M+1]+,,17,0,0,1,0,0,113.9869905,Trifluoroacetic acid,C2HF3O2,113.9928639,9,23138861,HMDB0014118,,,,,22
26,114.9872436,114.9752539,114.9934788,16.70000273,15.67188392,28.86949603,369,220,100,141.8951119,63.49106323,55.06367366,,,175,0,0,1,0,0,,,,,,,,,,,,
27,115.0385144,115.0371542,115.04,51.26897267,37.17810127,54.25802826,386,255,118,1624.337912,3092.436928,2677.777714,,,143,1,0,1,1,0,,,,,,,,,,,,
28,117.017967,117.0163886,117.02,29.95977365,23.20396592,32.33308816,373,255,118,615.5670655,731.2597539,635.6335947,,,171,0,0,1,0,0,,,,,,,,,,,,
29,117.0541477,117.0529978,117.0552036,81.38094844,67.51270988,82.51744734,441,255,118,17452.58317,6060.788634,5541.523537,[47][M]+,,27,1,1,1,1,1,,,,,,,,,,,,
30,118.0579847,118.0521393,118.0610595,81.56596839,69.94191148,83.69209023,375,255,118,1440.823052,364.6923523,366.3793425,[47][M+1]+,,27,0,0,1,0,0,,,,,,,,,,,,
31,119.0336233,119.03199,119.04,23.5137898,20.03162755,26.05154637,373,255,118,742.2143541,262.470041,228.0344012,,,261,1,0,1,1,0,,,,,,,,,,,,
32,121.8107975,121.8039343,121.8232838,139.5315609,137.2820886,143.5766539,369,247,113,289.439252,217.5858744,246.3616568,,,1,0,0,1,0,0,,,,,,,,,,,,
33,121.8712802,121.863955,121.8836151,139.5288059,137.4757996,141.1804209,370,248,114,278.1549546,259.74282,293.7063131,,,1,0,0,1,0,0,,,,,,,,,,,,
34,121.930602,121.9237827,121.943553,139.5774849,137.6451478,140.9696971,377,241,111,411.7017515,336.9342481,392.469443,,,1,1,0,1,1,0,,,,,,,,,,,,
